doccano task,Segment,label
1-s2.0-S0304387816300670-main.pdf.tei_63,"Manufacturing arises if either local (potential) productivity rises with, for example, enhanced education, or if the price of the manufactured good rises relative to the other goods, driven by changes in international prices or changes in the cost of transporting products between the local [city] and a port",0
1-s2.0-S0140196310000893-main.pdf.tei_39,"Conversely the decrease in the herbaceous standing [crop], due to the shortening of the [fallow] period, the extension of cultivated and cleared fields, the grazing by cattle, and more generally the increment in landscape discontinuities limit the spread of fire and the size of burnt areas ",2
1-s2.0-S0169204617300270-main.pdf.tei_26,The Land Administration Project from 2003 to pushed [land use ]planning in Ghana forward,0
1-s2.0-S003442571730041X-main.pdf.tei_2,"At present, no studies have considered the importance of the different [seasonal] NDVI signals of cropped and fallowed fields when interpreting NDVI trends, as both field types are commonly merged into a single 'cropland' class",0
1-s2.0-S000632071100245X-main.pdf.tei_4,"In fact, some NTFP-providing trees, such as the baobab (Adansonia digitata) and the shea tree (Vitellaria paradoxa), are protected by farmers during the agricultural cycle of [cultivation] and fallows and are therefore still well preserved",2
1-s2.0-S0140196314000536-main.pdf.tei_49,Regular [cultivation] keeps the soil penetrable and farmers are aware of the benefits of trees in their fields,2
1-s2.0-S0304387816300670-main.pdf.tei_44,"2013), and only 4 percent of [agricultural land] is irrigated compared to 18 percent globally (You et al",2
1-s2.0-S235198941500102X-main.pdf.tei_62,"(%)', '100', '37.25', '93.25', '75.58', '94.24', '100', '62', '100', None]}, {'cell': ['2001', None, None, None, None, None, None, None, None, None]}, {'cell': ['Gallery [forest]', '288', '0', '0', '0', '0', '0', '0', '0', '288']}, {'cell': ['Woodland', '28', '58', '1', '0', '0', '0', '0', '0', '87']}, {'cell': ['Tree savannas', '0', '0', '809', '14', '3', '1', '1', '0', '828']}, {'cell': ['Shrub savannas', '0', '0', '33', '203', '17', '3', '0', '0', '256']}, {'cell': ['Grass savannas', '0', '0', '1', '12', '238', '0', '0', '0', '251']}, {'cell': ['Farm/[fallow]', '0', '0', '0', '0', '0', '207', '0', '0', '207']}, {'cell': ['[Bare soil]', '0', '0', '3', '0', '0', '13', '46', '0', '62']}, {'cell': ['[Water] body', '0', '0', '0', '0', '0', '0', '0', '24', '24']}, {'cell': ['Column total', '316', '58', '847', '229', '258', '224', '47', '24', None]}, {'cell': ['Overall accuracy (%)', '93.46', None, None, None, None, None, None, None, None]}, {'cell': ['Kappa coefficient', '0.91', None, None, None, None, None, None, None, None]}, {'cell': ['Prod",0
1-s2.0-S0168192311001122-main.pdf.tei_80,"On the other hand, whereas the combination of REMO and SMHIRCA climate scenarios with the [land use ]scenario L2 causes an increase of the coefficient of variation, i.e",0
1-s2.0-S0167880913003502-main.pdf.tei_123,"Whilst Blanco-Canqui and stress those similar recommendations may hold for cropping systems on heavy textured, flat soils in temperate regions, no residue should be removed from sloping and [erosion]-prone soils under NT conditions",0
1-s2.0-S030438781000043X-mainext.pdf.tei_75,"In addition to land ownership, the regressions control for a quadratic in area and the previous existence of any tree [crop] (avocado, banana, colanut, coconut, coffee, cocoa, mango, oil palm, [pawpaw], rubber, or wood) on the plot",0
1-s2.0-S030438781000043X-mainext.pdf.tei_106,"LSMS 1985-88'}, 'Inputs', None, None, None, None, None, None, 'Investments']}, {'cell': [None, None, 'Seed', None, 'Fertilizer', {'@cols': '3', '#text': 'Insecticide'}, {'@cols': '2', '#text': 'Paid labor'}, '% [fallow]', '% Y cocoa', '% Y coffee']}, {'cell': [{'@cols': '2', '#text': 'Specification A: Tobit'}, None, None, None, None, None, None, None]}, {'cell': ['Sum of rights', None, '-0.07 (1.15)', None, '0.12 (1.19)', {'@cols': '3', '#text': '0.06 (0.80)'}, {'@cols': '2', '#text': '-0.05 (1.69)'}, '0.15 (5.52)', '0.06 (0.86)', '0.09 (0.57)']}, {'cell': ['Bought land', None, '0.07 (0.20)', None, '-0.16 (0.26)', {'@cols': '3', '#text': '0.22 (0.52)'}, {'@cols': '2', '#text': '0.09 (0.51)'}, '0.08 (0.44)', '0.37 (0.95)', '-0.92 (0.99)']}, {'cell': ['Paid to use land', None, '-0.03 (0.15)', None, '0.38 (1.08)', {'@cols': '3', '#text': '0.35 (1.23)'}, {'@cols': '2', '#text': '0.20 (1.89)'}, '-0.16 (1.49)', '-0.31 (1.13)', '0.60 (1.14)']}, {'cell': [{'@cols': '2', '#text': 'Received gift of land'}, '0.49 (2.71)', None, '0.25 (0.80)', {'@cols': '3', '#text': '-0.16 (0.60)'}, {'@cols': '2', '#text': '0.05 (0.55)'}, '-0.05 (0.53)', '-0.09 (0.37)', '0.49 (1.02)']}, {'cell': ['Sharecropper', None, '-0.55 (1.82)', None, '-1.28 (1.91)', {'@cols': '3', '#text': '-0.26 (0.63)'}, {'@cols': '2', '#text': '-0.36 (2.32)'}, '-0.37 (2.47)', '-0.51 (1.45)', '-0.38 (0.51)']}, {'cell': ['Obs.', None, '2473', None, '2473', {'@cols': '2', '#text': '2473'}, None, '2473', '2473', '2473', '2473']}, {'cell': [{'@cols': '2', '#text': 'Specification B: IV-Tobit'}, None, None, None, None, None, None, None]}, {'cell': ['Sum of rights', None, '0.07 (0.11)', None, '1.81 (1.24)', {'@cols': '3', '#text': '1.02 (1.05)'}, {'@cols': '2', '#text': '0.66 (1.67)'}, '0.90 (2.31)', '1.25 (1.44)', '0.02 (0.01)']}, {'cell': ['F-stat', None, '4.1', None, '4.1', {'@cols': '2', '#text': '4.1'}, None, '4.1', '4.1', '4.1', '4.1']}, {'cell': ['Min-dist p', None, '0.01', None, '0.4', {'@cols': '2', '#text': '0.77'}, None, '0.43', '0.12', '0.31', '0.34']}, {'cell': ['Obs.', None, '2473', None, '2473', {'@cols': '2', '#text': '2473'}, None, '2473', '2473', '2473', '2473']}, {'cell': ['Notes:', None, None, None, None, None, None, None, None]}]}}]
note: [{'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@n': '2', '@xml:id': 'foot_0', 'p': {'ref': {'@type': 'bibr', '@target': '#b103', '#text': 'Place and Swallow (2000)'}, '#text': 'This is congruent with the alternative approach of writers such as, who focus on exclusivity, security, and transferability as the key dimensions of property rights.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@place': 'foot', '@xml:id': 'foot_1', 'p': 'J",0
1-s2.0-S0167880913003502-main.pdf.tei_72,"Datasets from such studies are needed to investigate the relative roles, interactions and impacts of residue management, tillage, cropping systems, and nutrient management on soil physical and chemical properties and the resulting GHG emissions and [crop] yields for different climate and soil types",0
1-s2.0-S000632071100245X-main.pdf.tei_15,leiocarpa do not lose the ability to sprout after chopping as shown for other [savanna] and [forest] species,0
1-s2.0-S0264837701000205-main.pdf.tei_67,"Farmers\' response options to ensure food security vis-"" a a-vis alterations in [land use ]practice and [land use ]patterns",0
1-s2.0-S0264837715302131-main.pdf.tei_6,"In the period 1975-1990, 1.28 million ha (26%) of natural vegetation was converted to degraded [savanna] and farmland while 2.23 million ha (53%) of natural vegetation was converted to degraded [savanna] and farmland in the period 1990-2010",2
1-s2.0-S016788090800131X-main.pdf.tei_44,"At the local scale, the size of [crop] and grazing lands increased at the expense of shrinking of [forest] cover with distinct variation in magnitude of change between villages",2
1-s2.0-S0308521X12000157-main.pdf.tei_13,"In fact, a major reason why farmers grow [cotton] is to gain access to fertilisers for their subsistence food",2
1-s2.0-S0301479717300713-main.pdf.tei_82,"(2004)'}], '#text': 'With regard to population growth, the literature analysis revealed that only rural population growth can be considered as driver of [LULCC] with high agreement, while [urban] population growth was considered with medium agreement (33%, see Table )",1
1-s2.0-S0264837701000205-main.pdf.tei_38,"According to the Fulbe, [agriculture] demands hard work which pastoralism does not (c.f",0
1-s2.0-S030438781000043X-mainext.pdf.tei_91,"In Burkina Faso, supposedly more ""secure"" land inherited from within the lineage receives more hired labor, but is used longer before it is left [fallow]",1
1-s2.0-S0006320709005400-main.pdf.tei_56,They supported a greater proportion of [forest] species than any other modified land-use (Fig,0
1-s2.0-S0169204617300270-main.pdf.tei_118,Involvement of the local population in [land use ]planning decisions is often limited to chiefs or selected representatives,0
1-s2.0-S0140196310000893-main.pdf.tei_8,"The interrelations between [savanna] fire regimes and vegetation dynamics are indeed complex; they are conditioned by various climatic, biotic and anthropogenic factors involving different feedbacks and they are still not well understood either in their ecological or in their human dimensions .'}, {'ref': [{'@type': 'bibr', '@target': '#b9', '#text': '(Chuvieco et al., 2008;'}, {'@type': 'bibr', '@target': '#b54', '#text': 'Lentile et al., 2006;'}, {'@type': 'bibr', '@target': '#b56', '#text': 'Mayaux et al., 2003'}, {'@type': 'bibr', '@target': '#b57', '#text': 'Mayaux et al., , 2007) )'}, {'@type': 'bibr', '@target': '#b48', '#text': '(Justice et al., 2006)'}, {'@type': 'bibr', '@target': '#b13', '#text': '(De Klerk, 2008)'}, {'@type': 'bibr', '@target': '#b49', '#text': '(Justice et al., 2002)'}, {'@type': 'bibr', '@target': '#b37', '#text': 'Giglio (2005)'}],",0
1-s2.0-S0140196310000893-main.pdf.tei_8pt-2,"#text': 'The assessment of fire regimes across broad territories is carried out efficiently by means of data obtained by remote sensing such as MODIS fire data, that are specifically designed for this purpose",0
1-s2.0-S0301479717300713-main.pdf.tei_236,"Impact on [water] resources … P12:"", 'table': None}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_16', 'head': None, 'label': None, 'figDesc': 'P8: So I think, you call it migration? People have come in to work because there are opening up new institutions and government agencies.[…] You have a lot of people even from this community or from Bolgatanga who are in the South, working in the South",0
1-s2.0-S0301479717300713-main.pdf.tei_180,"As a driver.', ""[…] You know, when we have flooding, extreme weather events of flooding can also … when there is flood [water] standing on the soil surface for longer timethis can also degrade the soil",0
1-s2.0-S235198941500102X-main.pdf.tei_69,"The decrease in woodland, shrub savannas, grass savannas and [water] body occurred mainly between 1984 and 2001, while tree savannas and gallery [forest] decreased mainly between 2001 and 2013",2
1-s2.0-S0006320709005400-main.pdf.tei_111,"), implying that in this region significant opportunities to protect [forest] biodiversity exist in the absence of extensive human modification",0
1-s2.0-S0140196322000143-main.pdf.tei_90,National and local management policies are currently addressing the decrease in woody vegetation and related soil [erosion] by encouraging more sustainable practices such as tree planting on marginal land or the adoption of FMNR,0
1-s2.0-S0304387816300670-main.pdf.tei_42,"Falling precipitation and rising temperatures would likely worsen agricultural growing conditions in large parts of Africa, especially in coastal West Africa and in Southern Africa.'}, {'ref': {'@type': 'bibr', '#text': '7'}, '",1
1-s2.0-S0304387816300670-main.pdf.tei_42pt-2,#text': 'A significant literature on climate change and African [agriculture] is emerging,0
1-s2.0-S0006320709005400-main.pdf.tei_102,"This functional perspective is important because with the exception of the traditional uses of [forest] plants, we have a very rudimentary understanding of the functional role of biodiversity in modified tropical [forest] landscapes",0
1-s2.0-S0167880913003502-main.pdf.tei_121,There are some key questions that if addressed could identify the key CA practices that are required for maintaining or improving soil physical properties related to the ES of [water] regulation and provision on different soil types,0
1-s2.0-S0006320709005400-main.pdf.tei_40,"This latest expansion has come at a high environmental cost as cocoa farmers have encroached on the most important remaining protected areas of the Upper and Lower Guinea [Forest] including Taï National Park, Bia National Park, Cross River National Park and Korup National Park",0
1-s2.0-S0140196313000608-main.pdf.tei_121,"Results of the canonical variate analysis.', 'graphic': {'@coords': '10,129.83,66.73,326.13,237.71', '@type': 'bitmap'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_0', 'head': 'Table 1', 'label': '1', 'figDesc': 'Variables used to describe drivers of [crop] land change in our case studies.', 'table': {'row': [{'cell': ['Abbreviation of', 'Variable name']}, {'cell': ['variable name', None]}, {'cell': ['Demographic', None]}, {'cell': ['Popden', 'Population density']}, {'cell': ['Mig', 'In-migration']}, {'cell': ['outMig', 'Permanent out-migration a']}, {'cell': ['Economic', None]}, {'cell': ['Road', 'Road access a']}, {'cell': ['Preecon', 'Presence of economic structures']}, {'cell': [None, '(credit, inputs, projects)']}, {'cell': ['Natmark', 'Access to national markets']}, {'cell': ['Intmark', 'Access to international markets']}, {'cell': ['Price', 'Price changes a']}, {'cell': ['Divers', 'Increased opportunities for']}, {'cell': [None, 'diversification in off-farm jobs']}, {'cell': ['Agro-technical', None]}, {'cell': ['Newvar', 'New varieties a']}, {'cell': ['Graz', 'Overgrazing a']}, {'cell': ['Soildeg', 'Soil degradation a']}, {'cell': ['Plough', 'Introduction of plough']}, {'cell': ['Fert', 'Increased use of fertilizers']}, {'cell': ['SWMP', 'Presence of soil and [water]']}, {'cell': [None, 'management practices']}, {'cell': ['Irrig', 'Irrigation systems a']}, {'cell': ['Labor', 'Lack of labour force a']}, {'cell': ['Land', 'Land scarcity a']}, {'cell': ['Institutional', None]}, {'cell': ['Preenv', 'Presence of environmental']}, {'cell': [None, 'policies a']}, {'cell': ['Agripol', 'Presence of land tenure or']}, {'cell': [None, 'agricultural policies']}, {'cell': ['Absagripol', 'Absence of land tenure or']}, {'cell': [None, 'agricultural policies']}, {'cell': ['Climatic', None]}, {'cell': ['Rain', 'Rain availability and distribution']}, {'cell': ['Fire', 'Fires a']}, {'cell': ['Table 2', None]}, {'cell': {'@cols': '2', '#text': 'Variables used to describe the impacts of [crop] land changes as described in the case'}}, {'cell': ['studies.', None]}, {'cell': ['Variables', None]}, {'cell': ['Impacts on livelihoods', None]}, {'cell': ['Permanent out-migration', None]}, {'cell': ['Increased conflicts', None]}, {'cell': ['Increased yields', None]}, {'cell': ['Decreased yields a', None]}, {'cell': ['Increased labour force', None]}, {'cell': ['Decreased labour force a', None]}, {'cell': ['Increased involvement of women', None]}, {'cell': ['Impacts on agricultural practices', None]}, {'cell': ['Introduction of the plough a', None]}, {'cell': ['Increased use of fertilizer', None]}, {'cell': ['Decrease in [fallow] period b', None]}, {'cell': {'@cols': '2', '#text': 'Increase soil and [water] management practices b'}}, {'cell': ['Impacts on the environment', None]}, {'cell': {'@cols': '2', '#text': 'Decreased number of trees in farming plots b'}}, {'cell': ['No sign of land degradation a', None]}, {'cell': ['Land degradation b', None]}, {'cell': ['Decreased biodiversity a', None]}, {'cell': ['Increased biodiversity', None]}, {'cell': ['Decreased [water] availability', None]}, {'cell': ['Decreased carbon stocks a', None]}]}, 'note': {'p': {'p': 'a Variables that were mentioned in less than three case studies and therefore not included in the multivariate analysis.', '#text': 'a Impacts never mentioned in our case studies",0
1-s2.0-S0303243414001718-main.pdf.tei_12,"The population density has increased during the past decades, which has had a significant impact on the [land cover]",1
1-s2.0-S0301479717300713-main.pdf.tei_27,"Bush farms normally receive less fertilizer and regenerate under a bush-[fallow] system, but shortened [fallow] periods have decreased soil fertility",2
1-s2.0-S0304387816300670-main.pdf.tei_80,"However, despite the small fraction of districts with these industries, they are wellrepresented across countries: 18 sample countries have a modern industry and 19 have an industry in the wider set.'}, 'In our empirical work, we use these counts of modern industries and all industries as measures of 1960s extent of industrial activity in a district or [city]",0
1-s2.0-S0167880913003502-main.pdf.tei_117,"Few studies have quantified the linkages among these different soil properties and processes and their relationships with the provision and regulation of nutrients and [water] and with [crop] productivity as the measurements are often taken by different groups of investigators.', 'Existing CA experiments or strategically placed and newly designed experiments should be used for a comprehensive comparison of CA with conventional practices in a range of soils and climates",0
1-s2.0-S003442571730041X-main.pdf.tei_65,"However, strictly speaking, the method predicts the probability of a pixel belonging to either the [crop] or the [fallow] endmember class",0
1-s2.0-S095937809800003X-main.pdf.tei_46,"The photos are acquired in the driest season in which [fallow] land might be difficult to differentiate from cropped land.'}, {'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Fog, 1995;'}, {'@type': 'bibr', '@target': '#b38', '#text': 'Reenberg and Fog, 1995)'}], '#text': 'The extension of the 1995-field area was determined by field measurements",0
1-s2.0-S0140196310000893-main.pdf.tei_43,Due to the initial pixel size (1 km 2 ) the units of fire type relate to [savanna] landscape fragments that juxtapose various biotopes or plant species habitats,0
1-s2.0-S095937809800003X-main.pdf.tei_60,The decrease in rainfall has been associated with a concentration of the [cultivation] of the sandy soils on the dune,2
1-s2.0-S003442571730041X-main.pdf.tei_8,"However, conflicting hypotheses have been reported: on the one hand an expansion (into native [savanna]) and intensification (fertilizer) of cropland [cultivation], and on the other hand [agricultural land] abandonment, caused by, e.g., the civil war in Sudan may both contribute to the observed positive trends",2
1-s2.0-S0167880913003502-main.pdf.tei_76,"Such systems should be included in future CA gas emission studies.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '3.', '#text': 'Soil quality, biodiversity and the regulation and provision of [water] and nutrients'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b125', '#text': '(Palm et al., 2007;'}, {'@type': 'bibr', '@target': '#b177', '#text': 'Wall et al., 2004;'}, {'@type': 'bibr', '@target': '#b30', '#text': 'Daily et al., 1997)'}, {'@type': 'bibr', '@target': '#b119', '#text': '(Oberholzer and Hoper, 2007;'}, {'@type': 'bibr', '@target': '#b80', '#text': 'Karlen et al., 1997)'}, {'@type': 'bibr', '@target': '#b125', '#text': '(Palm et al., 2007)'}, {'@type': 'bibr', '@target': '#b119', '#text': '(Oberholzer and Hoper, 2007)'}],",0
1-s2.0-S0167880913003502-main.pdf.tei_76 pt2,#text': 'Many ecosystem processes and ES are provided by soils and the biodiversity in them,0
1-s2.0-S0304387816300670-main.pdf.tei_128,"Spatially, we will be looking at cities and rainfall within 30 km of them, as opposed to districts that average 41,000 square km.', {'ref': {'@type': 'figure', '@target': '#fig_8', '#text': '8'},",0
1-s2.0-S0304387816300670-main.pdf.tei_128 pt 2,"#text': 'Data on income or [city] product are not consistently available for African cities, so we use an indirect measure",0
1-s2.0-S0304387816300670-main.pdf.tei_117,We expect the negative effect of moisture growth on [urbanization] in the most industrialized countries to be reduced as the degree of industrialization declines,1
1-s2.0-S0169204617300270-main.pdf.tei_151,"The [Land Use ]Planning Bill could help to unify laws and regulations and to support the decentralisation process, but it is just starting and must prove itself.', ""The flexibility in the use of confidence level analysis presents a promising approach to improve interdisciplinary research as exemplified in this study",0
1-s2.0-S0006320709005400-main.pdf.tei_14,"Limited scientific work has been conducted on biodiversity in human-modified [forest] landscapes in West Africa compared with Amazonia or SE Asia .'}, {'ref': [{'@type': 'bibr', '@target': '#b47', '#text': '(Kareiva et al., 2007;'}, {'@type': 'bibr', '@target': '#b67', '#text': 'Naidoo et al., 2006;'}, {'@type': 'bibr', '@target': '#b69', '#text': 'Norris, 2008)'}],",0
1-s2.0-S0006320709005400-main.pdf.tei_14 pt 2,"#text': ""Against this dynamic background of change, our review has a number of goals",0
1-s2.0-S0140196314000536-main.pdf.tei_13,This method uses a local regression to separate the [seasonal] component from the yearly component in a time series,0
1-s2.0-S0301479717300713-main.pdf.tei_177,"P11: (Interviewer: But if I\'m thinking of the Vea catchment, mainly here it\'s [rice].) Cause there is a valley",0
1-s2.0-S235198941500102X-main.pdf.tei_57,The main finding of this study is the loss of vegetation cover over a 29 year period which is the result of conversion for [agriculture],2
1-s2.0-S016788090800131X-main.pdf.tei_66,"We presented several maps that depict the current change in land use, analyzed the impact of the change in farming systems on the condition of the [forest] ecosystem and recommended strategies for natural resource management.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_1', 'head': 'Fig",0
1-s2.0-S0264837701000205-main.pdf.tei_60,"Even in subsistence agricultural systems, changes in the [land use ]pattern should not only be analysed and understood as a relationship between population pressure (or need for food) and the potential of the natural resources",0
1-s2.0-S0308521X12000157-main.pdf.tei_7,"8'}], '#text': ""These circumstances have given rise to 'foreign direct investments' (FDI), also known as land deals or land grabs: the practice by which foreign governments and companies acquire rights to land and [water] in Africa to invest in large-scale, input-intensive, mechanized management",0
1-s2.0-S0006320709005400-main.pdf.tei_100,"Landscape context is frequently neglected in study design: biodiversity in small plots of modified habitat surrounded by [forest] are likely to contain many \'\'tourist"" species unable to persist in them",0
1-s2.0-S0304387816300670-main.pdf.tei_120,"We define the primate [city] broadly, to approximate the extent of the primate labor market, further including the [urban] areas of districts with substantial areas of lights at night contiguous to the officially defined primate [city]",0
1-s2.0-S0167880913003502-main.pdf.tei_108,"Increases in potassium are usually attributed to the high concentrations in cereal [crop] residues, while phosphorus availability due to a a decrease in P-sorption with higher SOM content in CA topsoil",0
1-s2.0-S0140196314000536-main.pdf.tei_21,"Further, all surveyed trees and [shrubs] were rated according their condition and usage (1e5) and classified in large (>4 m) and small (<4 m) to obtain comparable data to other studies (e.g",0
1-s2.0-S0301479717300713-main.pdf.tei_254,"So during the dry season, you have a lot of big groups of people during the dry season cultivating [vegetables] or [water] melon",2
1-s2.0-S0301479717300713-main.pdf.tei_269,"So it looks like they are now trying to either withdraw the subsidy because it was not get into the right kind of people."", 'table': {'row': [{'cell': ['(continued )', None, None, None, None, None, None, None]}, {'cell': ['Classification of driver', 'Drivers of [LULCC]', None, 'Interviews', None, None, None, None]}, {'cell': [{'@cols': '5', '#text': 'From cropland need it, actually get it",0
1-s2.0-S0140196313000608-main.pdf.tei_97,"In a small Sahelian catchment in Niger, the increase in cultivated land from 1950 to 1998 was associated with an increase in the extent of eroded land (from 7 to 16%) at the expense of the [savanna]",2
1-s2.0-S0264837701000205-main.pdf.tei_26,"Therefore, they deserve to be taken into account in theoretical thinking.""}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': 'Putting light and shade into the explanation of agricultural landscape evolution', 'p': ['Based on empirical experience from the Sudano-Sahelian region, the following will discuss trajectories of [land use ]changes, and the appropriateness of understanding changes as abrupt and driven by events as opposed to evolving gradually will be considered.', {'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b17', '",0
1-s2.0-S0264837701000205-main.pdf.tei_26_pt_2,"#text': 'Hansen and Reenberg (1998)'}], '#text': 'The four case studies that are used in the following as illustrations are located in two different agroecological zones in Burkina Faso (Fig",0
1-s2.0-S0140196322000143-main.pdf.tei_37,"In this study, individuals with heights greater than or equal to 4 m were considered as ""trees"" while individuals with heights lower than 4 m were considered as ""[shrubs]"" including bushes (height below 2 m) but excluding one year old saplings",0
1-s2.0-S0169204617300270-main.pdf.tei_68,"In addition, experts were interviewed about strengths and weaknesses of [land use ]planning, since informal rules in addition to formal regulations were expected to shape the [land use ]pattern (Fig",0
1-s2.0-S0304387816300670-main.pdf.tei_58,"If the [city] has a tiny or non-existent traded manufacturing sector, the effect of a decline in moisture on [city] population is ambiguous and tends to zero",0
1-s2.0-S0304387816300670-main.pdf.tei_40,"We will model the effect of climate change on district [urban] incomes using insights from these two papers.""]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Climate change in general'}, 'p': [""Sub-Saharan Africa has a highly diverse and variable climate",0
1-s2.0-S003442571730041X-main.pdf.tei_67,"A newer MODIS retrieving algorithm termed MAIAC (Multi-Angle Implementation of Atmospheric Correction) can deliver more cloud-free images as compared to the standard MODIS processing and this might enable the implementation of additional [seasonal] NDVI metrics to improve the separability of land use/cover classes in future studies.'}, {'ref': [{'@type': 'bibr', '@target': '#b9', '#text': '(Brandt et al., 2016)'}, {'@type': 'figure', '@target': '#fig_6', '#text': '5a'}, {'@type': 'bibr', '@target': '#b3', '#text': '(Bayala et al., 2014)'}]",0
1-s2.0-S003442571730041X-main.pdf.tei_67pt_2,"#text': 'Another variable influencing [seasonal] NDVI metrics in general, and the SOS metric in particular, is the woody vegetation, as leaves of several Sahelian woody species sprout before the wet season starts and the herbaceous vegetation and crops germinate",0
1-s2.0-S0301479717300713-main.pdf.tei_279,"Error', 't value', 'Pr(>jtj)']}, {'cell': [{'@cols': '2', '#text': 'Distance to Settlements'}, {'@cols': '2', '#text': 'À8.24E-05'}, '2.71E-05', 'À3.037', '0.00255 **', None, None, None]}, {'cell': ['Distance to [Roads]', None, {'@cols': '2', '#text': 'À8.79E-05'}, '2.23E-05', 'À3.95', '9.29e-05 ***', '(Intercept)', None, '1.52Eþ00', '3.15E-01', '4.825', '2.01e-06 ***']}, {'cell': [None, None, None, None, None, None, None, 'Distance to DAMs', None, 'À8.34E-06', '1.93E-06', 'À4.317', '2.01e-05 ***']}, {'cell': ['Signif",0
1-s2.0-S0168192311001122-main.pdf.tei_23,"suggests for the REMO and the SMHIRCA simulations a gradual decrease of precipitation towards 2050 with, in the REMO model, some acceleration towards the middle of our century, consistent with the temporal evolution of climate change signals in longer-'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.3.', '#text': '[Land use ]scenarios'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b36', '#text': '(Menz et al., 2010)'}, {'@type': 'bibr', '@target': '#b28', '#text': 'Judex (2008)'}, {'@type': 'figure', '@target': '#fig_3', '#text': '4'}, {'@type': 'figure', '@target': '#fig_4', '#text': '5'}, {'@type': 'figure', '@target': '#fig_5', '#text': '6'}, {'@type': 'figure', '@target': '#fig_5', '#text': '6'}, {'@type': 'bibr', '@target': '#b54', '#text': '(Verburg et al., 2002)'}, {'@type': 'figure', '@target': '#fig_6', '#text': '7'}],",0
1-s2.0-S0168192311001122-main.pdf.tei_23pt_2,"#text': '[Land use ]and [land cover] in West African savannas are mainly driven by population pressure, infrastructural drivers (road network) and legal constraint in the framework of nature protection",1
1-s2.0-S0140196310000893-main.pdf.tei_3,The specificity and complementarities of both MODIS active fire (MOD14A2 and MYD14A2) and burnt area (MCD45A1) products were assessed in order to characterize fire regimes and to relate them with [land cover],0
1-s2.0-S0140196322000143-main.pdf.tei_38,"Wood dry mass was then estimated by multiplying wood volume (cm 3 ) by the specific volume density, dw (g DM/cm 3 ) .'}, {'ref': {'@type': 'table', '#text': 'SI'}, '#text': 'The species-specific coefficients α, β, γ and δ and volume densities are provided in Table 1 for C in centimeters, dw in g dry mass per cubic centimeter.'}], 'formula': [{'@xml:id': 'formula_2', '#text': 'Ca = π (D* d)/4 (3)'}, {'@xml:id': 'formula_3', '#text': 'ba = C 2 /(4 π) (4)'}, {'@xml:id': 'formula_4', '#text': 'Ba = ∑ n 1 ba = ∑ n 1 ( C 2 / (4 π) ) (5)'}, {'@xml:id': 'formula_5', '#text': 'Fm = 10 -3 ∑ n 1 α C β (6) Wm = 10 -3 dw ∑ n 1 γ C δ (7)'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.6.',",0
1-s2.0-S0140196322000143-main.pdf.tei_38pt_2,"#text': 'Comparing woody populations between [land use ]types'}, 'p': 'Annual site means were calculated for woody plant density, aggregated crown areas (further referred to as crown cover), aggregated basal area, foliage mass and wood mass",0
1-s2.0-S235198941500102X-main.pdf.tei_5,"From 1984 to 2001, tree savannas, bare soils and agricultural lands increased by 17.55%, 18.79% and 21778.79%, respectively, while woodland, gallery [forest], shrub savannas and [[water] bodies] decreased by 22.02%, 5.03%, 40.08% and 31.2%, respectively",2
1-s2.0-S0308521X12000157-main.pdf.tei_4,SSA's [agriculture] is therefore called stagnant,0
1-s2.0-S0303243414001718-main.pdf.tei_11,"The main crops are millet, [peanuts] and [sorghum]",1
1-s2.0-S0303243414001718-main.pdf.tei_5,"Recently, investigators demonstrated again that [land cover] changes can have an accelerating effect on rainfall variations (e.g",0
1-s2.0-S016788090800131X-main.pdf.tei_8,"At regional scale, the annual rate of change in [forest] land, grazing land, gallery [forest] and cropland was À0.4, À0.9, À1.6 and 3.8%, respectively",2
1-s2.0-S235198941500102X-main.pdf.tei_41,"These two factors were followed by shortage of off-farm employment, weak [forest] law enforcement and subsidies on farm inputs",0
