Document_Segment,Segment
1-s2.0-S0301479717300713-main.pdf.tei_263,They have introduced soya [beans] but I don\'t know how well it is doing
1-s2.0-S030438781000043X-mainext.pdf.tei_78,"All of the investments studied, whether [fallow], inputs, or tree planting, are strongly and positively correlated with the sum of rights"
1-s2.0-S016788090800131X-main.pdf.tei_49,"Although the [land use ]right is  somehow flexible for migrant population, there is a prohibition on a woman to own farm land by the traditional land rights"
1-s2.0-S0264837715302131-main.pdf.tei_96,"Based on this model, the total cover of [forest], woodland and tree [savanna] will decrease from 74% (in 1975) to 48% by 2050 and from 62% in 1990-31% in 2050 using the dynamics recorded for  This means that by 2050, 26% of the total area recorded as [forest], woodland and tree [savanna] in 1975 will have been converted to farmland and degraded [savanna] if we assume the dynamics recorded from 1975 to 1990"
1-s2.0-S0006320709005400-main.pdf.tei_70,"Nematode species richness was significantly higher in a [fallow] plot than in an [annual [crop]] plot, suggesting some recovery of soil microfauna after abandonment "
1-s2.0-S003442571730041X-main.pdf.tei_72,Fallowed fields generally have a higher NDVI and a more rapid decreasing rate (after the wet season) than unmanured cropped fields and these differences in phenology were used to separate the [seasonal] signals of cropped and fallowed fields
1-s2.0-S0304387816300670-main.pdf.tei_186,"Changes in [urbanization]', 'p': ['First we solve for the effect on the population allocation"
1-s2.0-S0006320709005400-main.pdf.tei_29,"Lake Volta in Ghana and Lakes Kossou and Buyo in Côte d'Ivoire with a combined area of 10,550 km 2 (roughly 10% of the remaining area of dense [forest]) were constructed in the 1960s and 1970s to provide electricity"
1-s2.0-S0169204617300270-main.pdf.tei_30,"However, in peri-[urban] areas, where land tenure is in transition to customary land tenure, user rights are not clearly defined and cause conflicts"
1-s2.0-S0140196314000536-main.pdf.tei_9,"Annual rainfall is around 500 mm (1950e 2010), which mainly falls between June and October with a considerable inter-and intra-annual variability (coefficient of variation is 23 mm for the period 1950e2010).'}, ""In both study areas, trees and [shrubs] play a major role in peoples' daily life"
1-s2.0-S003442571730041X-main.pdf.tei_3,We make use of the distinctly different phenology of cropped and fallowed fields and use [seasonal] NDVI curves to separate these two field types
1-s2.0-S235198941500102X-main.pdf.tei_29,"This produced change matrices from which the magnitude, rates and nature of [land cover] changes (internal conversions) were derived"
1-s2.0-S0264837715302131-main.pdf.tei_95,"The amount of land that could be affected by bowalization thus increased during the two time periods considered here.'}, {'ref': [{'@type': 'bibr', '#text': '(1975-1990, 1990-2010 and 1975-2010)'}, {'@type': 'bibr', '#text': '1975-1990 and 1990-2010, respectively.'}, {'@type': 'figure', '@target': '#fig_2', '#text': '3'}], '#text': 'Future scenarios developed using the Markovian model with annualized transition matrices  showed a decrease in [forest], woodland and tree [savanna] and an increase in farmland and degraded [savanna] by 2050"
1-s2.0-S0006320709005400-main.pdf.tei_113,"In West Africa, the opening up of the [forest] interior through logging concessions effectively facilitated agricultural expansion to service increasing food demands from a growing and increasingly [urban] human population, as well as making [forest] areas more accessible to bushmeat hunters"
1-s2.0-S0140196322000143-main.pdf.tei_3,"Most of the decrease is due to the loss of [shrubs], while trees do not change significantly"
1-s2.0-S0264837715302131-main.pdf.tei_82,The study area is considered to be the main area of food and cash [crop] production (mainly [cotton]) in Benin
1-s2.0-S0301479717300713-main.pdf.tei_184,"P5: [Interviewer: So what do you think are the main drivers of [land use ]change in this area?] P5: I would say the population dynamics.', '[…] You know, what happens is that some during the dry season, they move to the southern part of Ghana to work and get more money and come back in the wet, in the rainy season"
1-s2.0-S0006320709005400-main.pdf.tei_46,"However, those [forest] baselines can themselves be highly modified, such that all studies are prone to unquantified shifting baselines "
1-s2.0-S0264837715302131-main.pdf.tei_18,Bowalization occurs when ferricretes are exposed as a result of the [erosion] of the soil surface by a combination of a dry climate and [deforestation] 
1-s2.0-S016788090800131X-main.pdf.tei_65,"We also thank all the resource persons at the Sissili Province of Burkina Faso for their kind cooperation during the meetings and the fieldwork.']}]
      figure: [{'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_0', 'head': None, 'label': None, 'figDesc': '(a) what is the current trend in [land use ]in the study area? (b) How can the situation observed at the local scale improve understanding of observations at the regional (or sub national) scale? (c) What are the drivers of [land use ]change? To answer these questions, changes in [land use ]were quantified based on multi-temporal spatial data at different scales over a 16-year period combined with field-based observation and information gathered from farmers"
1-s2.0-S0303243414001718-main.pdf.tei_16,"Due to the additional multispectral information, the classification for 2011 introduced a class for degraded land with apparent soil [erosion] and exposed laterite"
1-s2.0-S0168192311001122-main.pdf.tei_18,"Thus, the objective of the present paper is to develop [land use ]scenarios for a representative, medium-sized catchment in the sub-humid [savanna] zone of West Africa, to assess the impacts of these [land use ]scenarios on [crop] yields and to compare them with the expected changes in [crop] yields based on two climate scenarios until the middle of the 21st century.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.', '#text': 'Material and methods'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.1.', '#text': 'Study area'}, 'p': {'ref': [{'@type': 'bibr', '@target': '#b37', '#text': '(Mulindabigwi et al., 2008)'}, {'@type': 'bibr', '@target': '#b21', '#text': '(Hiepe and Giertz, 2008)'}, {'@type': 'bibr', '@target': '#b28', '#text': '(Judex, 2008)'}], '#text': 'The Upper Ouémé basin covers an area of 14,500 km 2 within the Republic of Benin"
1-s2.0-S0006320709005400-main.pdf.tei_92,Much of the tree cover in these landscapes is part of a [forest]-[agriculture] mosaic (Fig
1-s2.0-S0169204617300270-main.pdf.tei_148, assume that [urban] growth will concentrate on large cities such as Accra
1-s2.0-S0301479717300713-main.pdf.tei_246,"No farming, no agricultural activity … so [culture], religion, traditional believes can also affect [land use ]change"
1-s2.0-S0301479717300713-main.pdf.tei_257,For [Maize] we now have varieties that have 75 days
1-s2.0-S0140196313000608-main.pdf.tei_10,"With the increased awareness of the accelerating exposures of changes in climate, population pressure, and globalization processes affecting local livelihoods in the Sahel, research on [land use ]and [land cover] change has become more prominent, not least in regard to regions characterized by economic poverty and low agricultural productivity.'}, 'The Sahel region, a salient dryland region, has been the subject of considerable policy efforts"
1-s2.0-S0264837715302131-main.pdf.tei_78,"We considered only these classes because they convert to degraded [savanna] and farmland, the main [land cover] classes where bowé are common (Fig"
1-s2.0-S0301479717300713-main.pdf.tei_146,"[Cotton] is the cash crops that they grow there, in Northern Region and Upper East Region"
1-s2.0-S0264837715302131-main.pdf.tei_17,"The dynamics of changes in land use/[land cover] are influenced by the type of [land cover], ecological mechanisms of succession and regeneration, the physical components of the environment, socioeconomic activities and their cultural context, meteorological phenomena and natural disasters .'}, {'ref': [{'@type': 'bibr', '@target': '#b3', '#text': '(Aubréville, 1947)'}, {'@type': 'bibr', '@target': '#b22', '#text': '(Padonou et al., 2014'}, {'@type': 'bibr', '#text': '(Padonou et al., , 2015b))'}, {'@type': 'bibr', '@target': '#b21', '#text': '(Padonou et al., 2013;'}, {'@type': 'bibr', '@target': '#b37', '#text': 'Zwarg et al., 2012)'}], '#text': 'Bowal (plural bowé) is a particular type of degraded land that forms on hardened ferruginous soils (ferricretes) in tropical regions with a unimodal pattern of precipitation"
1-s2.0-S0168192311001122-main.pdf.tei_92,"Besides the constantly high fertility rates and an ever reducing mortality rate due to improved medical care, there are remarkable migratory movements not only from the drought prone Sahelian Zone in the North, but also from the densely populated coastal zone, where fertile [agricultural land] is becoming scarce"
1-s2.0-S0140196314000536-main.pdf.tei_26,"a lack of villagers to restrain strangers from cutting/felling due to missing ownership (latecomer) and the existence of individual cutting permits issued by the Governmental [Forest] Agency, 5"
1-s2.0-S003442571730041X-main.pdf.tei_58,"Given the fact that all arable land was under human management in the Fakara region prior to 2000, it can be assumed that the observed change in the percentage of cropped area is caused by a change in the [crop]-[fallow] cycle towards less fallowed and more cropped fields during the period studied.'}, {'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Dardel et al., 2014)'}, {'@type': 'bibr', '@target': '#b32', '#text': '(Hiernaux et al., 2016)'}, {'@type': 'bibr', '@target': '#b4', '#text': '(Bégué et al., 2011)'}, {'@type': 'bibr', '@target': '#b8', '#text': '(Brandt et al., 2014;'}, {'@type': 'bibr', '@target': '#b47', '#text': 'Rasmussen and Reenberg, 2012;'}, {'@type': 'bibr', '@target': '#b49', '#text': 'Romankiewicz et al., 2016)'}, {'@type': 'bibr', '@target': '#b51', '#text': '(Sanogo et al., 2015)'}, {'@type': 'bibr', '@target': '#b49', '#text': '(Romankiewicz et al., 2016)'}, {'@type': 'figure', '#text': '8'}, {'@type': 'bibr', '#text': '(2004, 2008, 2010, and 2012)'}], '#text': 'Although no greening was observed in our study area, these findings should be considered in the greening Sahel debate"
1-s2.0-S0140196313000608-main.pdf.tei_58,"The list was then adapted according to the impacts mentioned in the case studies.']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.', '#text': 'Analysis of data'}, 'p': 'The analysis of data is based on three main approaches: 1) a simple description of changes in [crop] land; 2) a cluster analysis to identify the combination of drivers that best explain changes in [crop] land, complemented by a canonical variate analysis to identify the best predictors of [crop] land change, and 3) a qualitative comparative analysis to understand which combinations of impacts resulted from the increase, decrease, or stability of [crop] land.'}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.2.1.', '#text': 'Description of [crop] land change'}, 'p': 'Changes in [crop] land were mapped to show the geographic location of case studies and the respective trends in [crop] land change"
1-s2.0-S0169204617300270-main.pdf.tei_108,"Furthermore, Poku-Boansi & Amoako (2015) argued that the scattered [urban] development in northern Ghana poses a challenge to infrastructure planning, since the provision of social services in localities with few residents makes the service economically inefficient"
1-s2.0-S0169204617300270-main.pdf.tei_39,We hypothesise that regional and cultural differences together with different land tenure systems and economic settings in southern and northern Ghana have led to different patterns of [urban] development
1-s2.0-S0301479717300713-main.pdf.tei_83,Literature analyses showed high agreement (83%) for traditional agricultural intensification as driver of [LULCC]
1-s2.0-S0301479717300713-main.pdf.tei_145,The best cash [crop] which is doing well in the area is [cotton]
1-s2.0-S0168192311001122-main.pdf.tei_8,[Maize] yields followed the decreasing trend of the [fallow]-cropland ratio and estimated yield reductions amounted to up to 24% in the period 2021-2050
1-s2.0-S0169204617300270-main.pdf.tei_34,"We refer to ""[urban] development"" as a spatial expansion of [urban] area in the periphery"
1-s2.0-S0301479717300713-main.pdf.tei_16," evaluated 1249 household questionnaires and held focus group discussions in 15 sites in Senegal, Mali, Burkina Faso, Niger, and Nigeria on driving forces for decreasing livestock, [crop] and pasture production"
1-s2.0-S0304387816300670-main.pdf.tei_140,"While having individual growth paths may be appealing as a general specification, standard F-tests (on all columns in Table  to follow) cannot reject the null (p 4 0.999) that all these [city] FEs are the same (i.e"
1-s2.0-S0006320709005400-main.pdf.tei_24,"Agricultural expansion has been equivalent across commercial commodities and food staples with an increase of 7.3 million ha in the area harvested of [cassava] Manihot esculenta, plantain Musa x paradisiaca, [cocoyam] Colocasia spp., oil palm Elaeis guineensis and cocoa Theobroma cacao from 1988 to 2007 (Fig"
1-s2.0-S003442571730041X-main.pdf.tei_23,"Land use/cover has been extensively studied in the district and monitored annually over 20 years .'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': 'Phenological characteristics of cropped and fallowed fields'}, 'p': [{'ref': [{'@type': 'bibr', '@target': '#b45', '#text': '(Osbahr, 2001)'}, {'@type': 'bibr', '@target': '#b34', '#text': '(Ickowicz et al., 2012)'}, {'@type': 'bibr', '@target': '#b42', '#text': '(Minet, 2007)'}], '#text': 'In the Sahel, rainfed crops, dominated by pearl millet and [sorghum], are sown with the first rains from late May to late July "
1-s2.0-S0140196310000893-main.pdf.tei_29,"In addition fires occurred earlier in the drier parts of the area studied, in relation with the beginning of the dry season, but the pattern of fire seasonality according to [land cover] was nevertheless similar over the whole area.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '4.1.3.', '#text': 'Variability of fire frequency according to [land cover] and land use'}, 'p': {'ref': [{'@type': 'figure', '#text': '5'}, {'@type': 'table', '@target': '#tab_0', '#text': '1'}, {'@type': 'figure', '@target': '#fig_3', '#text': '6'}], '#text': 'The most frequent fires (yearly or biennial) were observed mainly on hardpan and gravelly soils"
1-s2.0-S0264837715302131-main.pdf.tei_99,"However, because bowé occur after the [erosion] of topsoil, taking information on other variables that drive soil [erosion] into account in more sophisticated models will improve this forecast and enable researchers to outline normative scenarios to assess bowalization.'}, {'ref': [{'@type': 'bibr', '@target': '#b12', '#text': '(Flamenco-Sandoval et al., 2007)'}, {'@type': 'bibr', '@target': '#b10', '#text': '(El Garouani et al., 2007)'}], '#text': 'Markovian models have been used in many analyses of changes in land use/[land cover] "
1-s2.0-S0140196313000608-main.pdf.tei_96,"In southern Mali,  showed that there were very few signs of severe [erosion] in cultivated fields, but small patches of severely eroded soils had begun to appear throughout the study area"
1-s2.0-S0168192311001122-main.pdf.tei_90,"Simulation studies with the [crop] model CERES in China based on downscaled HadCam output suggest also decreasing [maize] yields until 2050 in the range of 14-23% without CO 2 fertilization, but the reduction was off-set when higher CO 2 levels were taken into account "
1-s2.0-S0264837701000205-main.pdf.tei_36,"This practice can be related to perceiving [agriculture] as a secondary economic activity, because Fulbe originally were dependent on livestock"
1-s2.0-S0167880913003502-main.pdf.tei_119,These factors are usually greater with CA and are related to reduced [erosion] and runoff
1-s2.0-S0006320709005400-main.pdf.tei_115,"West Afri-can [forest] landscapes are a potent reminder of what might happen in Central Africa in the near future, but could also provide insights to inform conservation and development decisions in Central Africa that may avoid comparable levels of [forest] loss and degradation.'}}]
      figure: [{'@xmlns': 'http://www.tei-c.org/ns/1.0', '@xml:id': 'fig_0', 'head': 'Fig"
1-s2.0-S000632071100245X-main.pdf.tei_7,"These adverse factors are compensated by advantageous seed dissemination (winged seeds) and a high [fruit] production .'}, {'ref': [{'@type': 'bibr', '@target': '#b10', '#text': '(Couteron and Kokou, 1997;'}, {'@type': 'bibr', '@target': '#b30', '#text': 'Müller and Wittig, 2002;'}, {'@type': 'bibr', '@target': '#b50', '#text': 'Thiombiano et al., 2006)'}, {'@type': 'bibr', '@target': '#b50', '#text': '(Thiombiano et al., 2006)'}], '#text': 'A"
1-s2.0-S0140196322000143-main.pdf.tei_75,"SI 7,'}, {'@type': 'bibr', '#text': '9)'}, {'@type': 'figure', '#text': 'SI 8'}, {'@type': 'bibr', '@target': '#b55', '#text': '(Ozer et al., 2017)'}, {'@type': 'bibr', '@target': '#b43', '#text': '(Lebel and Ali 2009)'}, {'@type': 'bibr', '#text': '(Hiernaux et al., 2009b;'}, {'@type': 'bibr', '@target': '#b19', '#text': 'Diouf et al., 2015)'}, {'@type': 'bibr', '#text': '(2004-2005; 2009-2011)'}], '#text': ""The overall decrease in woody vegetation seems to have accelerated since 2004, especially for [shrubs] "
1-s2.0-S0140196310000893-main.pdf.tei_4,"Fire regimes may therefore reveal [land cover] patterns and related land uses, detecting spatial or temporal changes in fire regimes can then help to reveal underlying environmental changes .'}, {'ref': [{'@type': 'bibr', '@target': '#b43', '#text': '(Hennenberg et al., 2006;'}, {'@type': 'bibr', '@target': '#b58', '#text': 'Mbow et al., 2000'}, {'@type': 'bibr', '@target': '#b59', '#text': 'Mbow et al., , 2003;;'}, {'@type': 'bibr', '@target': '#b78', '#text': 'Van Langevelde et al., 2003)'}, {'@type': 'bibr', '@target': '#b5', '#text': '(Bond et al., 2005;'}, {'@type': 'bibr', '@target': '#b40', '#text': 'Glover, 1968)'}], '#text': 'In the [savanna] biome, fire regimes are closely related to the amount of standing herbaceous phytomass that varies in quantity and composition over space and time according to topography, land use, pressure of herbivores and climatic variability "
1-s2.0-S0169204617300270-main.pdf.tei_50,"Today, census and household data are often combined with remote sensing to analyse patterns of [land use ]change "
1-s2.0-S0140196313000608-main.pdf.tei_41," have provided empirical documentation, which supports the perception that Boserup's model fits fairly well for [land use ]systems that rely on land and labour extensive methods when land is abundant"
1-s2.0-S0140196322000143-main.pdf.tei_16,"(4) upscale the site observations to the study site using [land use ]maps in order to compare trends with regional variables such as climate variables.', '(5) analyse the drivers of the trends observed in woody vegetation:', '• Are the trends in woody plant population attributes driven by trends in annual rainfall or rainfall distribution variables? • Are they driven instead by the trends of evapotranspiration, soil moisture in topsoil and in the root zone, considering the overall increase in atmosphere temperature? • Are they influenced locally by changes in runoff/run-on [water] balances? • Are they driven by the trend in [land use ]particularly by the increase of the area cropped following human demography? • Are they driven instead by the increased pressure on woody plant resources due to increases in local population density, economy and the relative proximity of the town of Niamey?']}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.', '#text': 'Material and methods'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.1.', '#text': 'The study site'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_0', '#text': '1'}, {'@type': 'bibr', '@target': '#b37', '#text': '(Hiernaux and Turner, 2002)'}, {'@type': 'bibr', '#text': '(INS-Niger 2015)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Hiernaux et al., 2016)'}], '#text': 'The study area extends over 499 km 2 in the district of Dantiandou, in south-west Niger, located 80 km east of the capital town Niamey (Fig"
1-s2.0-S0264837715302131-main.pdf.tei_8,"It is thus important to take measures to stop the degradation and to implement programs to restore soils on bowé based on the soil and [water] conservation techniques used on highly degraded West African soils, such as zaï pit and stone rows with grass strips"
1-s2.0-S095937809800003X-main.pdf.tei_56,[Sorghum] is more frequently cultivated on the loamy soils on the pediplain
1-s2.0-S0140196310000893-main.pdf.tei_49,Andropogon chinensis and Schizachyrium sanguineum are two perennial grass species typical of fire-proclimax tree [savanna]
1-s2.0-S0167880913003502-main.pdf.tei_45,"Models can simulate how the interaction among different levels of residue retention, fertility levels, soil temperature and other factors can affect [crop] yields, residue decomposition rates, and soil C storage under CA "
1-s2.0-S0168192311001122-main.pdf.tei_55,"In the [land use ]scenarios, the weather input for the 60 years simulation period consisted of the RCM runs for the past, whereas in the climate scenarios, the weather input was generated from RCM runs with either the ECHAM5/MPI-OM output from emission scenario A1B and B1 or the HADCM3Q0 output from emission scenario A1B as boundary condition (details are given in Section 2.1)"
1-s2.0-S0301479717300713-main.pdf.tei_45,").'}, {'ref': [{'@type': 'formula', '#text': '1'}, {'@type': 'bibr', '@target': '#b42', '#text': 'Hersperger et al., 2010)'}, {'@type': 'bibr', '@target': '#b43', '#text': '(Higgins, 2003;'}, {'@type': 'bibr', '@target': '#b84', '#text': 'Tabachnick and Fidell, 1989)'}], '#text': 'Multiple regression (Equation ( )) was applied to understand the relationships between [LULCC] (e.g"
1-s2.0-S0264837701000205-main.pdf.tei_35,"The older dunes (and the sandy covered pediplain) are best suited for [cultivation] because of the finer texture of the soils, but also, parts of the younger dunes are cultivated, yet not used to the same extent as the old ones"
1-s2.0-S0304387816300670-main.pdf.tei_115,"19'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.3.5.', '#text': 'Country-level [urbanization] and primacy'}, 'p': [{'ref': [{'@type': 'table', '@target': '#tab_3', '#text': '5'}, {'@type': 'bibr', '#text': '17'}, {'@type': 'bibr', '#text': '18'}, {'@type': 'bibr', '#text': '19'}, {'@type': 'formula', '#text': '1'}], '#text': 'Table  reports cross-country results, using the same sample of censuses described above"
1-s2.0-S030438781000043X-mainext.pdf.tei_68,"17 The significance of the results for the land-tenure variables are similar, except that the coefficients on the relationships between ""from spouse,"" ""from non-relative,"" and ""office holder"" and years since [fallow] become statistically significant and the ""plot from cultivator\'s abusua"" effects become insignificant for labor cost and own labor"
1-s2.0-S0304387816300670-main.pdf.tei_223,"[Urban] sector'}, None, None, None, None, None, None, None, None]}, {'cell': [None, None, None, None, 'ε', None, None, None, None, None]}]}, 'note': {'p': 'a sample is smaller by this number in the initial intercensal period (first two in Uganda) because of some units with zero [urban] population.'}}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', '@type': 'table', '@xml:id': 'tab_8', 'head': 'Table A4 Table 6', 'label': 'A46', 'figDesc': 'See notes to Table 6"
1-s2.0-S0264837701000205-main.pdf.tei_11," propose a conceptual framework wherein the population driven changes in [land use ]are seen to be manifest in various forms, including land-tenure arrangements, intensification of [agriculture] and extension of [agricultural land]"
1-s2.0-S0264837715302131-main.pdf.tei_100,More detailed spatially explicit models on changes in land use/[land cover] may be used in future analysis to improve our understanding of the locations and pathways of land use/[land cover] change dynamics that induce bowalization
1-s2.0-S0140196322000143-main.pdf.tei_87,"Because trees are less affected than [shrubs], the decrease over two decades is mostly visible through plant density (declining by -63% at the landscape scale) and crown cover (-58%), than basal area (-34%), foliage mass (-22%) and wood mass (-14%)"
1-s2.0-S0264837715302131-main.pdf.tei_19,"Bowé retain very little [water], so any vegetation quickly desiccates and burns early in the dry season"
1-s2.0-S0301479717300713-main.pdf.tei_192,"Apart from that, this is nothing something where plantation [agriculture] could capture on because it is rocky area"
1-s2.0-S0169204617300270-main.pdf.tei_105,"However, a direct link between governmental decentralisation and [urban] development was not confirmed by the literature "
1-s2.0-S0169204617300270-main.pdf.tei_129,[Land use ]planning is the key to maintaining resources
1-s2.0-S235198941500102X-main.pdf.tei_54, conducted a meta-analysis of 152 substantial cases of tropical [deforestation] (19 of these were from Africa)
1-s2.0-S0168192311001122-main.pdf.tei_30,"The remaining 64 sub-basins were conceptually subdivided into simulation response units which were quasi-homogenous with respect to climate, soil, proportion of cropland and available [fallow] as well as [crop] management (LUSAC = Land Use-Soil Association-Climate units)"
1-s2.0-S0169204617300270-main.pdf.tei_143,"As a next step in combining information from diverse methods, we suggest consideration of type and quality of methods for confidence levels.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '5.', '#text': 'Conclusions and outlook'}, 'p': ['[Urban] expansion, particularly informal [urban] expansion with small settlement units, is one of the key processes that we observed in both study areas, while particularities in land tenure, customary norms, historical development, strategic-geographical location and related economic priorities led to a different speed and pattern of [urban] development"
1-s2.0-S016788090800131X-main.pdf.tei_12, found that significant [deforestation] had in fact occurred during the period 1986-2001 in western and southern regions along the Volta River basins
1-s2.0-S0304387816300670-main.pdf.tei_16,"When the local agricultural sector is competing for labor with an [urban] sector engaged in production of goods tradable outside the district, declines in moisture encourage [urbanization] by offering alternative employment for farmers"
1-s2.0-S0264837715302131-main.pdf.tei_27,"Bowé could occur anywhere within the study area.'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '2.2.', '#text': '[Land cover] maps'}, 'p': [{'ref': [{'@type': 'figure', '@target': '#fig_1', '#text': '2'}, {'@type': 'bibr', '@target': '#b6', '#text': '(Clerici et al., 2007'}, {'@type': 'bibr', '@target': '#b1', '#text': '(Achard et al., 2002)'}, {'@type': 'bibr', '#text': '(RGB 4,'}, {'@type': 'bibr', '#text': '7,'}, {'@type': 'bibr', '#text': '5)'}], '#text': 'Three sub-scenes of Landsat imagery for the years 1975 (Landsat Multi-Spectral Scanner), 1990 (Landsat Thematic Mapper) and 2010 (Landsat Enhanced Thematic Mapper plus) were interpreted (Fig"
1-s2.0-S0140196314000536-main.pdf.tei_6,The woody vegetation is characterized by an open tree and shrub [savanna] with low vegetation diversity
1-s2.0-S0140196310000893-main.pdf.tei_32,"Between brackets: absolute contribution of fire type to respectively the first and second axis: [land cover] with an absolute contribution !10% are underlined and in italic respectively for axis 1 and 2; infrequent fires: fires observed 1/8 years; fairly frequent fires: fires observed 2/8 to 3/8 years; yearly or biennial fires: fires observed 4/8 to 8/8 years.'}, {'ref': [{'@type': 'figure', '#text': '7'}, {'@type': 'table', '@target': '#tab_1', '#text': '2'}, {'@type': 'figure', '@target': '#fig_4', '#text': '8'}], '#text': 'regimes"
1-s2.0-S0006320709005400-main.pdf.tei_15,"First, we aim to identify the main causes of [forest] loss and degradation in West Africa"
1-s2.0-S0304387816300670-main.pdf.tei_154,"When we fully interact our Table  specifications with a measure of hydropower reliance, we find no differential effect (not shown).'}]}, {'@xmlns': 'http://www.tei-c.org/ns/1.0', 'head': {'@n': '7.', '#text': 'Mechanisms'}, 'p': {'ref': {'@type': 'bibr', '#text': '24'}, '#text': 'We have presented reduced form evidence that climate change drives [urbanization] through the channel of migration toward [urban] employment opportunities"
1-s2.0-S030438781000043X-mainext.pdf.tei_95,"Land left [fallow] may be lost; this shortens the [fallow] period in some contexts and lengthens the time between [fallow] periods in others, depending on the farming system"
1-s2.0-S0301479717300713-main.pdf.tei_133,So peri-[urbanisation]
1-s2.0-S0264837701000205-main.pdf.tei_23,"On the other hand, these changes have to be seen as a result of a diversity of parameters and processes that can only be analysed at a much finer scale.""}, {'ref': [{'@type': 'bibr', '@target': '#b70', '#text': '(Whitehead, 1984;'}, {'@type': 'bibr', '@target': '#b50', '#text': 'Saul, 1993;'}, {'@type': 'bibr', '@target': '#b37', '#text': 'Nyerges, 1997;'}, {'@type': 'bibr', '@target': '#b8', '#text': 'Breusers, 1998;'}, {'@type': 'bibr', '@target': '#b54', '#text': 'Smith and Chavas, 1999)'}, {'@type': 'bibr', '@target': '#b33', '#text': '(Moore, 1992;'}, {'@type': 'bibr', '@target': '#b21', '#text': 'Kabeer, 1994;'}, {'@type': 'bibr', '@target': '#b3', '#text': 'Berg, 1997)'}], '#text': ""Theories on [land use ]changes seldom reflect the potential impact of gender specific priorities on [land use ]patterns, in spite of the fact that gender segregated [agriculture] is common in much of West Africa"
1-s2.0-S0140196313000608-main.pdf.tei_65,"land degradation, increased soil and [water] management practices, decreased numbers of trees in farming plots, decreased fallows)"
1-s2.0-S095937809800003X-main.pdf.tei_74,"All rights reserved Key words: desert margin, [land cover] change, [land use ]practice, demographic pressure, climatic changes, agricultural strategies, pastoral strategies, migration Anette Reenberg and Kjeld Rasmussen are associate professors and Trine Louring Nielsen is a research assistant at the Institute of Geography, University of Copenhagen, Oster Voldgade 10, DK-1350 Copenhagen K, Denmark"
1-s2.0-S0168192311001122-main.pdf.tei_101,"Scenarios of the change in [land use ]and [crop] yields with increasing fertilizer application in Benin Republic have been published recently by , but the macro-economic benefit under the given boundary conditions remains low"
1-s2.0-S003442571730041X-main.pdf.tei_56,"Furthermore, no trend in rainfall was observed for the time period analyzed here, which is in line with  and , making changes in [water] availability very unlikely as an explanation for the decreasing NDVI (a strong coupling between integrated NDVI and rainfall is normally observed in the Sahel )"
1-s2.0-S0169204617300270-main.pdf.tei_89,"This SU size distribution is well in line with the perceptions of the experts, who reported fast growing informal [urban] sprawl areas located side by side with huge industrial compounds"
1-s2.0-S0140196313000608-main.pdf.tei_114,"Assessed from the prioritized project proposals , the mindset which frames the intervention has not changed much since the 1980s.'}, 'This leads us to caution against replications of poorly supported characterizations of [land use ]changes in theoretical conceptualizations or important policy documents"
1-s2.0-S0006320709005400-main.pdf.tei_32,"(2006)'}, {'@type': 'bibr', '@target': '#b80', '#text': '(Steffan-Dewenter et al., 2007)'}], '#text': ""While agricultural expansion is clearly the primary cause of [deforestation] in West Africa, a range of factors have contributed to this expansion, including human population growth and movements, limited investment in agricultural research and poor rural support services, and the management of commodity markets"
1-s2.0-S0169204617300270-main.pdf.tei_114,"As a result, existing [land use ]plans contradict investors' development plans"
1-s2.0-S0169204617300270-main.pdf.tei_23,"Between 1992 and 1994, Ghana restructured its [urban] and [land use ]planning system into a decentralised form where more political, planning and administrative power was transferred to the district level in order to facilitate an increase in exchange between governmental and public concerns"
1-s2.0-S0304387816300670-main.pdf.tei_185,"Per-worker output (either marginal or average output depending on how agricultural rents are distributed) is declining in total farm workers and increasing in moisture or rainfall, R.', 'Migration arbitrage between the [urban] and rural sectors equalizes incomes and there is full employment in the district so that We seek the effect of moisture change on [city] (or conversely agricultural) population and total [city] income"
1-s2.0-S0169204617300270-main.pdf.tei_117,"People insist on their customary [land use ]rights, which complicates statutory planning"
